 ,,,,,,,,,,Dimensions,Measures,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Monthly Avg/Sunday,Sum Per Month,,,Year,Attendees,,,,,,,,
February,6,9,6,1,,6,22,,,Week,,,,,,,,,
March,,,,,,#DIV/0!,0,,,,,,,,,,,,
April,,,,,,#DIV/0!,0,,,,,,,,,,,,
May,,,,,,#DIV/0!,0,,,,,,,,,,,,
June,,,,,,#DIV/0!,0,,,,,,,,,,,,
July,,,,,,#DIV/0!,0,,,,,,,,,,,,
August,,,,,,#DIV/0!,0,,,,,,,,,,,,
September,,,,,,#DIV/0!,0,,,,,,,,,,,,
October,,,,,,#DIV/0!,0,,,,,,,,,,,,
November,,,,,,#DIV/0!,0,,,,,,,,,,,,
December,,,,,,#DIV/0!,0,,,,,,,,,,,,
,,,,,,#DIV/0!,4,53,,,,,,,,,,,
EDUCATION,4-5 Week Classes,,8-10 Week Classes,,,,,,,Year,Classes,,,,,,,,
Classes,# of Classes,# of Enrollments,# of Classes,# of Enrollments,Paid Participants ,,,,,Term,ClassEnrollees,,,,,,,,
Term 1,2,38,2,28,,,,,,,,,,,,,,,
Term 2,,,,,,,,,,,,,,,,,,,
Term 3,,,,,,,,,,,,,,,,,,,
Term 4,,,,,,,,,,,,,,,,,,,
TOTAL YTD,2,38,2,28,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Workshops,# of Workshops,# of Enrollments,,,,,,,,Year,Workshops,,,,,,,,
Term 1,3,52,,,,,,,,Term,WorkshopEnrollees,,,,,,,,
Term 2,,,,,,,,,,,,,,,,,,,
Term 3,,,,,,,,,,,,,,,,,,,
Term 4,,,,,,,,,,,,,,,,,,,
TOTAL YTD,3,52,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Taste of Bodhi,,,,Money Paid for tickets,Price per ticket,,,,,Year,Money Paid,,,,,,,,
Event Name,Ticket Sales,Goal,,,,,,,,Event,SalesGoal,,,,,,,,
Community Camp,,,,,,,,,,PricePerTicket,,,,,,,,,
Family Fun Fest,,,,,,,,,,,,,,,,,,,
Sunset Dinner,,,,,,,,,,,,,,,,,,,
Dinner Club,,,,,,,,,,,,,,,,,,,
Foster Beach BBQ 8/11,,,,,,,,,,,,,,,,,,,
Gong Meditation 8/18,,,,,,,,,,,,,,,,,,,
Bodhi Off-Broadway 8/18,,,,,,,,,,,,,,,,,,,
Moonlight Salsa 8/26,,,,,,,,,,,,,,,,,,,
,,,TOTAL,$0 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sunday Contributions,,,,,,,,,,Year,SundayContibution,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Month,Sum Per Month,,,Month,,,,,,,,,
January-basket,"$1,154 ",$762 ,$354 ,$531 ,,$700 ,"$2,801 ",,,Week,,,,,,,,,
January-online,"$4,940 ","$3,805 ","$1,332 ","$1,414 ",,"$2,873 ","$11,491 ",,,ContributionMethod,,,,,,,,,
February-basket,$921 ,$301 ,$407 ,$390 ,,$505 ,"$2,019 ",,,,,,,,,,,,
February-online,"$2,457 ","$4,385 ","$2,311 ",,,"$3,051 ","$9,153 ",,,,,,,,,,,,
March-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
March-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
April-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
April-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
May-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
May-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
June-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
June-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
July-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
July-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
August-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
August-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
September-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
September-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
October-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
October-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
November-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
November-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
December-basket,,,,,,#DIV/0!,$0 ,,,,,,,,,All Contributions YTD,,,
December-online,,,,,,#DIV/0!,$0 ,,,,,,,,,Total Monthly Average,Total Sum Contributions,As of,Previous year
Sunday Totals,,,,,,,"$25,464 ","$25,464 ",,,,,,,,"$9,563 ","$38,250 ",January,"$37,348 "
Total Sunday,,,,,,,,,,,,,,,,"$7,385 ","$26,489 ",February,"$47,603 "
,,,,,,,"$25,464 ",,,,,,,,,,,March,
,,,,,,,,,,,,,,,,,,April,
Mid-Week Contributions,,,,,,,,,,,,,,,,,,May,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Week,Sum Per Month,,,Year,MidWeekContibution,,,,,,,June,
January-checks,$0 ,$100 ,$0 ,$0 ,,$25 ,$100 ,,,Month,,,,,,,,July,
January-online,"$8,921 ","$5,470 ","$4,268 ","$5,199 ",,"$5,965 ","$23,858 ",,,Week,,,,,,,,August,
February-checks,$0 ,$300 ,$200 ,$0 ,,$125 ,$500 ,,,ContributionMethod,,,,,,,,September,
February-online,"$3,422 ","$6,342 ","$2,846 ","$2,207 ",,"$3,704 ","$14,817 ",,,,,,,,,,,October,
March-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,November,
March-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,December,
April-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,"$8,474 ","$64,739 ",,"$84,951 "
April-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
May-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
May-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
June-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
June-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
July-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
July-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
August-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
August-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
September-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
September-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
October-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
October-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
November-checks,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
November-online,,,,,,#DIV/0!,$0 ,,,,,,,,,,,,
December-checks,,,,,,,$0 ,,,,,,,,,,,,
December-online,,,,,,,$0 ,,,,,,,,,,,,
,,,,,,,"$39,275 ","$39,275 ",,,,,,,,,,,
Sunday Prayer,,,,,,,,,,,,,,,,,,,
Month,Week 1,Week 2,Week 3,Week 4,Week 5,Average/Week,Sum Per Month,,,Year,ReceivingPrayer,,,,,,,,
January,11,10,6,9,,9,25,,,Month,,,,,,,,,
February,13,13,10,10,,12,46,,,Week,,,,,,,,,
March,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
April,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
May,,,,,,#DIV/0!,  -   ,,,,,,,,,,,,
